№ DirsSet Sift DirNum Stack Error EndState
0 type -1 2 -1 1 -1
1 type 1 3 -1 1 -1
2 a,b,c -1 5 1 1 -1
3 # -1 0 -1 1 1
4 a,b,c -1 6 -1 1 -1
5 a,b,c -1 21 1 1 -1
6 = 1 8 -1 1 -1
7 int,record -1 10 1 1 -1
8 #,; -1 27 -1 1 -1
9 int -1 12 -1 -1 -1
10 record -1 13 -1 1 -1
11 int 1 0 -1 1 -1
12 record 1 14 -1 1 -1
13 a,b,c -1 16 1 1 -1
14 end 1 0 -1 1 -1
15 a,b,c -1 17 -1 1 -1
16 a,b,c -1 21 1 1 -1
17 : 1 19 -1 1 -1
18 int,record -1 10 1 1 -1
19 end,; -1 32 -1 1 -1
20 a -1 24 -1 -1 -1
21 b -1 25 -1 -1 -1
22 c -1 26 -1 1 -1
23 a 1 0 -1 1 -1
24 b 1 0 -1 1 -1
25 c 1 0 -1 1 -1
26 # -1 29 -1 -1 1
27 ; -1 30 -1 1 -1
28 # -1 0 -1 1 1
29 ; 1 31 -1 1 -1
30 a,b,c -1 5 -1 1 -1
31 end -1 34 -1 -1 -1
32 ; -1 35 -1 1 -1
33 end -1 0 -1 1 -1
34 ; 1 36 -1 1 -1
35 a,b,c -1 16 -1 1 -1
